epoch,loss,categorical_accuracy,val_loss,val_categorical_accuracy,lr

0,0.3708040118217468,0.36129075288772583,0.3373854160308838,0.41114550828933716,0.001

1,0.29722899198532104,0.4964909851551056,0.27859556674957275,0.5291021466255188,0.001

2,0.2719745337963104,0.5485413670539856,0.2643282115459442,0.5609906911849976,0.001

3,0.2560480833053589,0.579468846321106,0.25627604126930237,0.5746129751205444,0.001

4,0.24057252705097198,0.6121508479118347,0.24695739150047302,0.603715181350708,0.001

5,0.2273942530155182,0.6389156579971313,0.2440517246723175,0.6136223077774048,0.001

6,0.21272704005241394,0.6646140217781067,0.24774466454982758,0.6003096103668213,0.001

7,0.19936218857765198,0.6917916536331177,0.2545226812362671,0.6086687445640564,0.001

8,0.1850755661725998,0.7201733589172363,0.24541540443897247,0.62569659948349,0.001

9,0.17275524139404297,0.7429475784301758,0.25399693846702576,0.6133127212524414,0.001

10,0.15770979225635529,0.7701940536499023,0.26281607151031494,0.6263157725334167,0.001

11,0.14452214539051056,0.7886335253715515,0.26144012808799744,0.6204334497451782,0.001

12,0.13227342069149017,0.8137470483779907,0.2694300711154938,0.6309597492218018,0.001

13,0.12184455990791321,0.8254438042640686,0.2760860323905945,0.6253870129585266,0.001

14,0.11209005117416382,0.844880998134613,0.2840741276741028,0.6408668756484985,0.001

15,0.10168547183275223,0.8625636696815491,0.31010833382606506,0.6201238632202148,0.001

16,0.09709016978740692,0.8679303526878357,0.29249146580696106,0.6371517181396484,0.001

17,0.0877106785774231,0.8826200366020203,0.31688016653060913,0.6334365606307983,0.001

18,0.08476406335830688,0.88544100522995,0.31011512875556946,0.6365324854850769,0.001

19,0.07765313982963562,0.8970001339912415,0.31962326169013977,0.6380804777145386,0.001

20,0.07266372442245483,0.9059790968894958,0.3259570896625519,0.6402477025985718,0.001

21,0.06841069459915161,0.911793053150177,0.3395135700702667,0.6365324854850769,0.001

22,0.05523568019270897,0.9308173656463623,0.34467557072639465,0.6396284699440002,0.0005

23,0.04788709804415703,0.9398651719093323,0.35220199823379517,0.6461300253868103,0.0005

24,0.04279835894703865,0.9455758929252625,0.3623737096786499,0.647678017616272,0.0005

25,0.043112482875585556,0.9463327527046204,0.3730732202529907,0.6461300253868103,0.0005

26,0.03763163089752197,0.9536603689193726,0.37964510917663574,0.6532507538795471,0.0005

27,0.037323493510484695,0.9533163905143738,0.3793128728866577,0.6489164233207703,0.0005

28,0.03498116508126259,0.9593366980552673,0.38594111800193787,0.6510835886001587,0.0005

29,0.03498997539281845,0.9579950571060181,0.3906494379043579,0.6482971906661987,0.0005

30,0.03331540524959564,0.9614008665084839,0.40293070673942566,0.6470588445663452,0.0005

31,0.03222079947590828,0.9607127904891968,0.398496150970459,0.6482971906661987,0.0005

32,0.03157545253634453,0.9627769589424133,0.4144018888473511,0.6368421316146851,0.0005

33,0.03063398413360119,0.96387779712677,0.4136652946472168,0.6359133124351501,0.0005

34,0.027272962033748627,0.9671115875244141,0.4124600887298584,0.6455108523368835,0.00025

35,0.024251678958535194,0.9718590974807739,0.41341882944107056,0.6464396119117737,0.00025

36,0.02375097945332527,0.9724783301353455,0.4240972399711609,0.6501547694206238,0.00025

37,0.022687217220664024,0.9738200306892395,0.4288374185562134,0.644891619682312,0.00025
